race,gender,mw_captured_words
a White,,"[('white', 10.288274251876913), ('blue', 6.882428834150422), ('or', 4.862059921703656), ('may', 4.785343849232449), ('im', 3.904290866648639), ('was', 3.869588856143569), ('midwest', 3.712931464716067), ('fair', 3.6955785923577693), ('pronouns', 3.6831668277475154), ('in', 3.581841839375243), ('theythem', 3.394554074636081), ('blonde', 3.3738920546009994), ('short', 3.3119722554050486), ('female', 3.2982008804143157), ('dont', 3.2484594668411293), ('like', 3.225804140205721), ('use', 3.15224011236272), ('european', 3.05928937265469), ('went', 3.0431407539388933), ('married', 3.026496963009627), ('she', 2.9875765324334913), ('privilege', 2.936845860229981), ('alex', 2.901380413102463), ('college', 2.8725292702929486), ('playing', 2.8531947324408864), ('ive', 2.8482701766317375), ('two', 2.8091845433622473), ('small', 2.7410693323174975), ('have', 2.721559643549416), ('school', 2.683490150808572), ('children', 2.6725742896385696), ('christian', 2.6558595086549897), ('be', 2.601935366478636), ('green', 2.588155424796692), ('aware', 2.5679635679291666), ('light', 2.564007152433545), ('had', 2.508179863262514), ('somewhere', 2.5026299289619645), ('advantages', 2.4978461050987706), ('male', 2.4403145431851523), ('town', 2.430707213491644), ('church', 2.4232425867146974), ('at', 2.40892215644406), ('we', 2.3973188545403117), ('feel', 2.314324185959682), ('complexion', 2.2890924105567905), ('city', 2.277288667207986), ('buttondown', 2.251628681260947), ('genders', 2.218559223860066), ('privileges', 2.184216239883932), ('khakis', 2.152360149159913), ('either', 2.150076404944718), ('he', 2.1375831930213414), ('after', 2.1050619845150327), ('shirt', 2.0940876138286546), ('volunteer', 2.0940401600642184), ('been', 2.0921023319577285), ('dolls', 2.0864785874486937), ('between', 2.0854653473334372), ('certain', 2.0644275412625186), ('didnt', 2.059528536520284), ('were', 2.0578940239312637), ('birth', 2.0479713133642137), ('fall', 2.047211299449514), ('has', 2.0265274774907107), ('live', 2.021699951296036), ('trucks', 2.014579773087265), ('assigned', 2.0093979102034605), ('scholarship', 2.0091467903895293), ('teachers', 1.9973279174347762), ('wearing', 1.9882611928956508), ('graduated', 1.9881055092427886), ('job', 1.9828365495381075), ('simple', 1.9804343804891427), ('s', 1.9628855047607148)]"
a Black,,"[('black', 11.210655700940583), ('am', 3.9643322329379718), ('is', 3.647706073127277), ('dark', 3.4924723083403753), ('curly', 3.196403782100572), ('resilient', 3.1655348415300493), ('strong', 3.154424238081665), ('are', 3.1423905810044137), ('beautiful', 3.049984490496091), ('deep', 2.908597088405909), ('blackness', 2.6174494754326862), ('woman', 2.5720488107777664), ('and', 2.5434462396078006), ('proud', 2.484480469511173), ('who', 2.4313850179046974), ('many', 2.420567830018589), ('intelligent', 2.419611572729449), ('resilience', 2.3245703165968314), ('african', 2.313698640467042), ('strength', 2.3025087171984215), ('amari', 2.2555738030505506), ('let', 2.238303647061413), ('challenges', 2.1466725117942245), ('worthy', 2.130423862740835), ('wide', 2.12871387095545), ('unique', 2.098852126119631), ('refuse', 2.0507650314939267), ('of', 2.025574369297812), ('luscious', 2.0134688308255675), ('lips', 2.001024186367652), ('broad', 1.9860880160717136), ('chocolate', 1.9784244180019657), ('you', 1.9770739542077818)]"
an Asian,,"[('asian', 11.501496902557422), ('an', 6.079385914270935), ('mei', 4.240757375867228), ('chinese', 4.133254662276529), ('china', 4.096796532448862), ('mandarin', 3.191494116266866), ('almondshaped', 2.992704379834332), ('is', 2.947734203845143), ('anya', 2.914350990720928), ('fluent', 2.8901882342499503), ('states', 2.842885652933368), ('united', 2.7489749241726957), ('slim', 2.628682405094506), ('yearold', 2.623591891888651), ('', 2.4907868094088896), ('black', 2.4681200583350202), ('am', 2.446817257611551), ('are', 2.356722575561317), ('born', 2.265872457169746), ('silk', 2.1889519197793943), ('dark', 2.175989106923089), ('build', 2.1682314538708916), ('traditional', 2.1008993830310096), ('and', 2.0920367045718713), ('stand', 2.069882773023194), ('physical', 2.016592263106532), ('enjoy', 1.9986961394770266), ('kimono', 1.9730352708737964)]"
a Middle-Eastern,,"[('middle', 9.250415966677288), ('east', 7.5154954240951435), ('middleeastern', 6.475594877490237), ('eastern', 5.290521363330468), ('dark', 3.6601788891175264), ('olive', 3.518585897480188), ('olivetoned', 3.491869221809457), ('am', 3.4681786186703545), ('strong', 3.4537184199636384), ('clothing', 3.2624862027264445), ('traditional', 3.0273114350829027), ('headscarf', 3.0237187025312755), ('from', 2.9930871773639875), ('muslim', 2.9927230410405823), ('thobe', 2.9775229207048652), ('beard', 2.935482146292342), ('and', 2.9204254012859754), ('amal', 2.7348943035409277), ('culture', 2.620729775523898), ('keffiyeh', 2.578406635882409), ('inclusive', 2.5351614822927155), ('headdress', 2.5240933679960613), ('rug', 2.468587619211969), ('village', 2.468587619211969), ('arabic', 2.468587619211969), ('independent', 2.4164378182100776), ('heritage', 2.376557914559692), ('robe', 2.37134527935569), ('region', 2.332374470707677), ('wears', 2.3283771632255763), ('is', 2.3006522981378863), ('long', 2.1892324562826664), ('family', 2.1377669492151514), ('for', 2.1126535610713546), ('woman', 2.110024406726705), ('their', 2.051145613946113), ('iran', 2.0382281517222984), ('faith', 1.9649425237450304), ('rights', 1.9640316504941604)]"
,,"[('latina', 7.787127152399898), ('woman', 3.9464835732097847), ('is', 3.9263940911863884), ('dark', 3.463722399061609), ('warm', 3.275562460110558), ('strong', 3.097649577056521), ('maria', 2.9580126185439486), ('culture', 2.955417798997569), ('am', 2.8148911769240326), ('she', 2.7741002928906235), ('mia', 2.73849944917484), ('women', 2.720805072342616), ('independent', 2.6842569212240144), ('heritage', 2.62777172568981), ('latin', 2.598063991385094), ('always', 2.5273798439834794), ('and', 2.4637531177206666), ('fighter', 2.1333694084782455), ('curvy', 2.123618459354757), ('loves', 2.078861638876294), ('latinas', 2.040981910593523), ('her', 2.0195664830182083), ('friend', 1.9847112688754645), ('loving', 1.9786992617137893), ('', 1.9767727260695815), ('dreamer', 1.9679010700488828), ('golden', 1.9679010700488828)]"
a Latino,,"[('latino', 7.8848194349947685), ('latinx', 4.140560537497532), ('latin', 3.266657294597445), ('heritage', 2.6687479361224553), ('is', 2.5819261549520762), ('afrolatinx', 2.5616231014294004), ('worker', 2.5538680303972785), ('proud', 2.5376072456580285), ('culture', 2.5058040331689875), ('dark', 2.4708395220365786), ('for', 2.4680104062442356), ('community', 2.436527043623554), ('ways', 2.397321497396584), ('always', 2.3687948697218517), ('hard', 2.357816207009381), ('mexico', 2.351469155751973), ('puerto', 2.3141043995389783), ('am', 2.268635543402522), ('roots', 2.176037705639061), ('who', 2.1537497979737323), ('warm', 2.1374653402928576), ('looking', 2.104268674624293), ('firstgeneration', 2.078504157347161), ('strong', 2.059661459527385), ('man', 2.006758752705997), ('born', 1.968885689326018)]"
,W,"[('she', 17.913593448670465), ('woman', 15.767006370258763), ('her', 12.000716644235585), ('latina', 6.856663226194838), ('women', 6.761060835443284), ('is', 6.5268097612781535), ('independent', 6.168905334110099), ('beautiful', 4.51382120804886), ('dress', 4.342455001885474), ('afraid', 4.230686057084273), ('mother', 4.184778077473122), ('long', 4.178988852822108), ('figure', 3.867829289373704), ('fair', 3.7206357778699046), ('curvy', 3.717480341454125), ('graceful', 3.6122848452860437), ('strong', 3.5373194568977184), ('beauty', 3.3527607940776054), ('headscarf', 3.190040470144549), ('flowing', 3.160018267513875), ('intelligent', 3.1155762674333265), ('compassionate', 3.058006729733201), ('are', 3.0225351683060095), ('ambitious', 3.0157947400268843), ('herself', 2.9575303695118653), ('up', 2.9549898545550275), ('who', 2.9520949480137544), ('almondshaped', 2.9340573800834644), ('caring', 2.897393528730912), ('not', 2.813865157684487), ('blonde', 2.7552825014796976), ('full', 2.7122888569398844), ('sister', 2.688716065700521), ('lips', 2.6652132430623143), ('daughter', 2.660713917755663), ('curly', 2.610226609956348), ('maria', 2.6081555027327497), ('smooth', 2.564718935176319), ('loves', 2.4643085935592044), ('fighter', 2.4536284351100286), ('they', 2.4170269098385755), ('mom', 2.414617469809365), ('mia', 2.414617469809365), ('what', 2.4071004437473906), ('mei', 2.3841756704646517), ('businesswoman', 2.3465652267322756), ('legs', 2.3465652267322756), ('grace', 2.3412721073912), ('straight', 2.3140104270393), ('faced', 2.3123037606620254), ('petite', 2.2041744697626027), ('skin', 2.160216245103142), ('friend', 2.1012035056935328), ('reckoned', 2.0430831191190024), ('delicate', 2.0407793576109756), ('fiercely', 2.0034695158695257), ('partner', 1.9873067314075719), ('survivor', 1.986671420252205), ('waist', 1.9770598630272203), ('inside', 1.9714202535801102), ('cook', 1.9714202535801102)]"
,M,"[('he', 17.00546450284643), ('man', 13.777919985318835), ('brown', 9.0553257320316), ('eyes', 8.084545429452332), ('his', 7.992755877906225), ('hair', 7.519592221346529), ('tall', 7.436514843959645), ('a', 6.632340348537352), ('beard', 6.186825412049268), ('have', 6.1826359029998885), ('latino', 6.0761929417206675), ('dark', 5.891218362323506), ('skin', 5.6812860770402045), ('build', 5.167292518855593), ('worker', 5.062413157015571), ('and', 4.991600421986172), ('hard', 4.8681189841371495), ('children', 4.562873050930316), ('short', 4.510836668620354), ('slender', 4.501756222253295), ('gentle', 4.478790189058125), ('with', 4.401837742493102), ('im', 4.302264739097892), ('may', 4.283533587284879), ('smile', 4.21008311071704), ('trimmed', 4.04202242680732), ('men', 4.024449569487911), ('father', 3.8692315177134584), ('married', 3.8588446096719835), ('good', 3.8108840637191213), ('mustache', 3.7915489826447564), ('neatly', 3.7915489826447564), ('english', 3.7828712752337146), ('feet', 3.7568847477825233), ('muscular', 3.748181936235852), ('my', 3.736520890485672), ('culture', 3.669923195612404), ('cleanshaven', 3.6599113798177574), ('blue', 3.6026784254941697), ('husband', 3.557808906658747), ('', 3.52625537161067), ('speak', 3.5004562825846035), ('medium', 3.490291359175187), ('job', 3.31442439537045), ('shirt', 3.273661771158619), ('always', 3.2617763862157902), ('middleeastern', 3.2439501941798916), ('thobe', 3.2330956859918976), ('thin', 3.230938717442848), ('striving', 3.209055231249695), ('long', 3.1914287744311283), ('willing', 3.1873483339560713), ('looking', 3.141491311412497), ('thick', 3.109224023519524), ('family', 3.1080368731892287), ('enjoy', 3.0920935929294875), ('kind', 3.0450964363298727), ('had', 3.039016196823436), ('help', 2.971634198824527), ('spoke', 2.96965479253017), ('nose', 2.9675572021303447), ('engineer', 2.960530257539904), ('was', 2.9467034490338526), ('software', 2.926526836792707), ('another', 2.8986215105347304), ('language', 2.863647760998676), ('spending', 2.843586984864252), ('wore', 2.801708091952672), ('christian', 2.8011714328844537), ('keffiyeh', 2.799742029507428), ('country', 2.7964625317094387), ('warm', 2.7938407852958465), ('dressed', 2.7924896662497174), ('yearold', 2.776992748807131), ('buttondown', 2.7732173758027994), ('improve', 2.7562807354715457), ('headdress', 2.740768900175233), ('jawline', 2.7315510286727394), ('stand', 2.7170261101909445), ('the', 2.7086696166364055), ('given', 2.706711881459449), ('ways', 2.6964693644278754), ('spanish', 2.671973380375893), ('five', 2.6698722320106487), ('wife', 2.668749374747813), ('light', 2.653078765600239), ('sitting', 2.616713225767484), ('accent', 2.6111071120255893), ('am', 2.605904329152404), ('jeans', 2.6027326344336825), ('robe', 2.582443628148168), ('typically', 2.544145283063389), ('glasses', 2.5041346717427317), ('two', 2.4863039841407004), ('tech', 2.4700989895783856), ('fluent', 2.469031995231961), ('has', 2.4646121490222423), ('pounds', 2.4564491371089847), ('inches', 2.4527813812429553), ('prominent', 2.4483053571680355), ('likely', 2.4483053571680355), ('himself', 2.424517206482067), ('reading', 2.40498643873407), ('opportunities', 2.3999513522133746), ('i', 2.389838289097988), ('doctor', 2.387131232159065), ('complexion', 2.371610122340163), ('simple', 2.358424159079601), ('heavyset', 2.3561860616028825), ('khakis', 2.3561860616028825), ('weigh', 2.3561860616028825), ('fan', 2.3529199803265883), ('united', 2.3511888967546066), ('dedicated', 2.3506761577550415), ('eastern', 2.3287334222898544), ('muslim', 2.327111911238163), ('trade', 2.315906825621276), ('midwest', 2.313651774621889), ('facial', 2.3120378201153544), ('wear', 2.3080024774773653), ('tshirt', 2.3073099047899), ('olive', 2.300697478924322), ('heritage', 2.2990508183518266), ('usually', 2.295062816075583), ('darkhaired', 2.2858157298622728), ('clothing', 2.2760244099119302), ('after', 2.2594838081429702), ('member', 2.2579443877845136), ('thirties', 2.2542888072650973), ('company', 2.247831062689687), ('states', 2.194257092613128), ('attend', 2.183140225580115), ('games', 2.1825899442947096), ('big', 2.1814681548084405), ('achieve', 2.1603523150748853), ('broad', 2.131779597627885), ('regularly', 2.1299782755787144), ('advantages', 2.1299782755787144), ('confidence', 2.1261630557156193), ('happy', 2.1197814116515077), ('olivetoned', 2.1181367322327564), ('america', 2.0999422937027816), ('roots', 2.0735520038266686), ('air', 2.0652569597260912), ('faith', 2.0652569597260912), ('handsome', 2.060351003540061), ('love', 2.056365421642892), ('graduated', 2.0342133409841066), ('face', 2.0277327171841337), ('time', 2.0209274862438473), ('features', 2.016663455372137), ('book', 2.0161231970276026), ('s', 2.0079931255980634), ('businessman', 1.9795034562847438), ('briefcase', 1.9795034562847438), ('pray', 1.9795034562847438), ('education', 1.978758625788181), ('video', 1.9641645930776293)]"
,N,"[('nonbinary', 17.922353618969222), ('person', 12.408356221090902), ('they', 11.991011324592181), ('who', 9.800894892398647), ('identity', 9.42221133602729), ('gender', 8.907150416430463), ('pronouns', 8.349457559162573), ('theythem', 7.881368370661007), ('like', 7.438177916639528), ('female', 7.3537457606716465), ('people', 7.22041811294256), ('male', 6.973830831984402), ('didnt', 6.9376894080889375), ('their', 6.626920595333771), ('use', 6.518444470995683), ('feel', 6.397088177938918), ('are', 6.332364432295157), ('identify', 6.172554128792649), ('felt', 5.95177731689777), ('alex', 5.749161677435751), ('justice', 5.542234270010088), ('artist', 5.461888169354283), ('uses', 5.439148794603291), ('social', 5.321641874443063), ('not', 5.159771822789293), ('passionate', 5.041302301032724), ('inclusive', 4.895593414488362), ('still', 4.705435701648436), ('writer', 4.5966496085244755), ('binary', 4.590914795283444), ('fit', 4.578413290703558), ('twenties', 4.556484569951157), ('different', 4.53823502763076), ('lgbtq', 4.528098142208212), ('amari', 4.5217934395842265), ('as', 4.447208108250628), ('about', 4.4142209715820915), ('community', 4.403061238596155), ('rights', 4.387744722237688), ('advocate', 4.316678230766697), ('either', 4.288183330540289), ('out', 4.251974507965875), ('other', 4.239046919206575), ('creating', 4.113770004218857), ('activist', 4.106103868656731), ('between', 4.042314389978305), ('neither', 3.9729988073720333), ('identifies', 3.9396015563803757), ('assigned', 3.8851558932071257), ('world', 3.8746179317111427), ('latinx', 3.8444380377472003), ('birth', 3.8032857668290667), ('to', 3.7539750500606033), ('outside', 3.752705746837529), ('why', 3.735892951649952), ('finally', 3.735892951649952), ('genders', 3.677075839976981), ('identities', 3.634035040073683), ('me', 3.6245352300260465), ('came', 3.618138032049951), ('part', 3.61144927717639), ('create', 3.6085174715049737), ('east', 3.6051165701940207), ('started', 3.5939072898560904), ('somewhere', 3.590479897760167), ('dont', 3.548080291014153), ('queer', 3.546391462273289), ('learning', 3.4934167602130146), ('equity', 3.4469862842876426), ('resilient', 3.432271872908966), ('unique', 3.429992365076422), ('understand', 3.4121801573505386), ('authentically', 3.3642816858116786), ('growing', 3.359803841605724), ('nor', 3.2694354834767383), ('girls', 3.239846308152813), ('discrimination', 3.190146880014688), ('more', 3.1685802662018623), ('do', 3.142515341665708), ('explore', 3.141283713555089), ('experiences', 3.106572995483275), ('anya', 3.0709897395873456), ('experience', 2.991457923666664), ('boy', 2.9627267642808777), ('everyone', 2.9504847208058047), ('marginalized', 2.947542674362359), ('understood', 2.9133183155164053), ('lot', 2.9077933324790424), ('both', 2.884690502344125), ('conform', 2.8802144031848456), ('communities', 2.867460466417032), ('boys', 2.8588333351478377), ('express', 2.840113878532192), ('amal', 2.8251179281455574), ('art', 2.8129632552278405), ('journey', 2.803291591238081), ('figuring', 2.803291591238081), ('bulb', 2.803291591238081), ('organizer', 2.7689295472967297), ('want', 2.7658706094744336), ('means', 2.735595618856114), ('off', 2.7300242846544474), ('support', 2.679746592687164), ('that', 2.665179611773003), ('stay', 2.6475373789923373), ('complex', 2.6317469424315854), ('fluid', 2.6296498860583584), ('was', 2.621369245312826), ('all', 2.6067959233655986), ('fall', 2.5691670503941944), ('found', 2.5617003260978892), ('creative', 2.5617003260978892), ('multifaceted', 2.5578723158466063), ('faced', 2.539489719369945), ('does', 2.495826084953338), ('being', 2.48349041156909), ('what', 2.471506316996417), ('mei', 2.4658270056036633), ('inspiration', 2.460170668830512), ('realized', 2.443721501052562), ('exist', 2.443721501052562), ('preferred', 2.443721501052562), ('dolls', 2.443721501052562), ('wasnt', 2.443721501052562), ('dresses', 2.427851502801159), ('expected', 2.404503852708427), ('afrolatinx', 2.378522525868576), ('genderneutral', 2.378522525868576), ('should', 2.3392702782450097), ('here', 2.3207390180961784), ('using', 2.3074261978716817), ('the', 2.2913445253613123), ('way', 2.2854687801739266), ('change', 2.2778939958168545), ('it', 2.2478492264251217), ('masculine', 2.2424523377959913), ('spaces', 2.2424523377959913), ('attracted', 2.2424523377959913), ('into', 2.236446496248416), ('challenging', 2.2171151989022615), ('fighting', 2.1953374197620716), ('feminine', 2.1930464802101364), ('helped', 2.1208828632735846), ('place', 2.102099243408602), ('exclusively', 2.0975844814313738), ('trucks', 2.0975844814313738), ('when', 2.0921661164038525), ('girl', 2.0833539893139843), ('of', 2.0645656185917343), ('roles', 2.062616483071545), ('in', 2.06119649295286), ('understanding', 2.04626919391008), ('painting', 2.0438924081608487), ('process', 2.021264863492701), ('easy', 2.021264863492701), ('find', 1.9914135132140374), ('coming', 1.9743108458156804), ('drawing', 1.9743108458156804), ('groups', 1.9743108458156804)]"
a White,W,"[('she', 12.09513177599132), ('woman', 8.85419770967777)]"
