race,gender,mw_captured_words
a White,,"[('white', 7.156415682934703), ('blue', 6.867439308468142), ('or', 5.363378932354822), ('blonde', 5.1685437040366145), ('light', 5.1080213318712815), ('green', 4.83108830197119), ('fair', 4.749255715962905), ('pale', 4.704058294594667), ('color', 4.566401069085893), ('red', 4.532009575485978), ('european', 4.219991452035881), ('caucasian', 3.8667561136902004), ('blond', 3.7088698848696926), ('to', 3.3966015301828145), ('hazel', 3.2970887480637865), ('any', 3.180106583629555), ('even', 3.0825906815570594), ('grey', 2.973992511144305), ('freckles', 2.8748829724371), ('gender', 2.8384302960890246), ('gray', 2.758238298167061), ('height', 2.674405219772292), ('eye', 2.6533957464392293), ('racial', 2.567177973333288), ('race', 2.539817105572623), ('refers', 2.5235418012423585), ('pink', 2.5120713764432816), ('age', 2.3898784734453193), ('could', 2.3545119779326886), ('vary', 2.3514790103515475), ('not', 2.337467074953705), ('sandy', 2.324009368443825), ('brown', 2.2093673285339666), ('from', 2.208520338332696), ('be', 2.2080389240351295), ('differ', 2.1969985490680726), ('shades', 2.189039849410128), ('greatly', 2.16503861784049), ('genetics', 2.117590439286433), ('north', 2.1126368372825626), ('male', 2.0843407180432654), ('europe', 2.0714762542250726), ('clear', 2.0502419638867146), ('can', 2.045632764542457), ('appearance', 2.029894005490384)]"
a Black,,"[('african', 5.422120173932313), ('coiled', 4.971022065712597), ('black', 4.570060596938312), ('tightly', 4.3930508025217145), ('ebony', 4.3120360631774854), ('rich', 4.175482149990077), ('strength', 4.034197247712299), ('resilience', 3.696320565641984), ('deep', 3.561983828495519), ('dark', 3.2304163028382646), ('curls', 2.93175521230988), ('full', 2.90195338883571), ('that', 2.691994397816651), ('mahogany', 2.6620853603460746), ('coily', 2.6454438942327547), ('afro', 2.609189048514379), ('crown', 2.602852947728634), ('tight', 2.542333371739757), ('and', 2.5195343490735023), ('coils', 2.4843384074971975), ('textured', 2.2782324760344967), ('wisdom', 2.2543198330749705), ('smile', 2.2481548382637357), ('pride', 2.2457743520422024), ('braids', 2.2079227600453533), ('melanin', 2.177621123437724), ('testament', 2.138922940084304), ('are', 2.0481343480708762), ('dreadlocks', 2.0334300014062867), ('confidence', 2.01188468807942), ('anyone', 1.9845367226333823), ('strong', 1.984297235622559), ('presence', 1.9678736991827064), ('beautiful', 1.9639121029303166)]"
an Asian,,"[('asian', 10.222514745629901), ('almondshaped', 6.3647346539716665), ('asia', 6.089425340996879), ('dark', 4.227889677396447), ('continent', 3.4603026527788043), ('heritage', 3.334899561459102), ('east', 2.9091053139238996), ('an', 2.8119675884055986), ('modern', 2.776405057965212), ('almond', 2.7742570300238323), ('japanese', 2.6170911496302733), ('southeast', 2.6170911496302733), ('jet', 2.390241695296442), ('japan', 2.3671764459888296), ('golden', 2.348022413763522), ('india', 2.3004646099223693), ('china', 2.3004646099223693), ('chinese', 2.3004646099223693), ('kimono', 2.2317616202983523), ('asians', 2.2317616202983523), ('ethnicities', 2.2259918506631666), ('glossy', 2.225531003582537), ('south', 2.2223819796440294), ('cultures', 2.202468007345677), ('black', 2.125043955990195), ('korean', 2.087590281879436), ('tea', 2.074835143962519), ('compared', 2.0419531181172768), ('traditions', 2.0116190694714433), ('side', 2.003305877446253), ('wisdom', 2.0023127008496497), ('natural', 1.9853746777457406)]"
a Middle-Eastern,,"[('middle', 7.9248048938086875), ('middleeastern', 7.051043830952221), ('eastern', 5.492047156523933), ('desert', 5.302117174675658), ('dark', 5.013385217763991), ('thick', 4.497557325469344), ('east', 4.492388006516073), ('olive', 4.43871257460381), ('thobe', 4.364130275056357), ('region', 4.153705002070287), ('the', 4.140012543997302), ('dishdasha', 3.6207206839021713), ('traditional', 3.5530330853406307), ('ancient', 3.488290429524182), ('keffiyeh', 3.160185113171383), ('arabian', 3.160185113171383), ('rich', 3.013031454425735), ('beard', 2.9531959567515256), ('attire', 2.9468067557786566), ('shemagh', 2.9027056267918208), ('arabic', 2.9027056267918208), ('robe', 2.8694395422639825), ('dunes', 2.7930875490070926), ('garment', 2.6200889333141335), ('sand', 2.604157837482745), ('homeland', 2.5774549194365197), ('warm', 2.5449832158508943), ('flowing', 2.5053117112917307), ('kissed', 2.4722732199450994), ('by', 2.395369836607155), ('ghutra', 2.369887930158213), ('prominent', 2.3640429861220937), ('intricate', 2.331904554032877), ('sands', 2.32944576313115), ('cultures', 2.307111566768854), ('westernstyle', 2.288634952726261), ('long', 2.2770315400950305), ('olivetoned', 2.258143175543113), ('sun', 2.2507541290342963), ('iran', 2.2343179787304486), ('saudi', 2.2343179787304486), ('prayer', 2.2343179787304486), ('traditions', 2.2339024073138045), ('wear', 2.224088149232168), ('arabia', 2.1633527226210876), ('modern', 2.157300873427358), ('history', 2.1368391523414845), ('spices', 2.119246780252463), ('tales', 2.0549914033959573), ('draped', 2.0377725128285062), ('call', 2.0334930825966384), ('country', 2.029893761392558), ('known', 2.029893761392558), ('loose', 2.029893761392558), ('heritage', 2.0270234488239813), ('garments', 2.026788039355043), ('culture', 2.026423418135702), ('hospitality', 2.0013865139238862), ('deep', 1.986646936118197)]"
a Latino,,"[('latino', 9.83840638391025), ('latin', 6.793351213954584), ('spanish', 5.096109189822388), ('heritage', 4.78747654934383), ('dark', 4.168722552487957), ('american', 4.1272774489065505), ('vibrant', 4.074371870228694), ('america', 4.03039687321241), ('rich', 3.839550201090381), ('roots', 3.573244855710633), ('strong', 3.501192011981352), ('culture', 3.487422815170107), ('english', 3.4341944582012798), ('salsa', 3.2883076977575776), ('indigenous', 3.2883076977575776), ('warm', 3.2650207407729854), ('thick', 3.19834270553053), ('music', 3.1472938462892848), ('expressive', 3.073354464204533), ('family', 3.060923295542719), ('mexico', 3.0442664717921626), ('rhythm', 2.969917253186785), ('and', 2.890214781710537), ('lively', 2.720134875244401), ('language', 2.6954414812325167), ('passionate', 2.619850412058746), ('our', 2.4325904561886587), ('cultural', 2.422239765640903), ('ancestors', 2.388981523386025), ('warmth', 2.371838837141848), ('portuguese', 2.3578651154044), ('spirit', 2.356908760304847), ('sunkissed', 2.3308740266840453), ('accent', 2.307631574742578), ('traditions', 2.257578598811601), ('passion', 2.2377605399168843), ('speak', 2.187100947631367), ('pride', 2.17335350672089), ('stories', 2.143036998432645), ('carry', 2.104617483876203), ('of', 2.0858759962534195), ('hispanic', 2.079378802381358), ('love', 2.0672220100588787), ('fluent', 2.0627947806760707), ('abuelas', 2.003724429908242), ('central', 1.9879606274418693), ('my', 1.9707580866082495), ('colorful', 1.9657898695892997)]"
,W,[]
,M,"[('his', 14.500008109680447), ('he', 8.406800436605344), ('man', 7.255107171500958), ('brown', 5.171147185166344), ('beard', 4.49604234619271), ('build', 3.7873164453464176), ('thick', 3.6964697379819524), ('dark', 3.689540946591468), ('a', 3.6737566934187735), ('facial', 3.5904879717167506), ('eyes', 3.576788008157191), ('nose', 3.5659826426139074), ('him', 3.520416211273013), ('face', 3.4247168936033527), ('strong', 3.361866126776637), ('neatly', 3.3517838181565884), ('jawline', 3.2599598283562186), ('blue', 3.2046491028885473), ('tall', 3.113945169485142), ('green', 3.079827146995182), ('men', 3.0464376783110527), ('lifestyle', 3.0458570828286877), ('full', 3.0372909072347696), ('black', 2.997202989248441), ('height', 2.9967965994806054), ('hair', 2.992823739646657), ('light', 2.9687734362520146), ('can', 2.9450043567932322), ('hes', 2.9392280103336232), ('straight', 2.8860963795148122), ('cheekbones', 2.857152244004511), ('smile', 2.833556848872215), ('casual', 2.8238292143548245), ('from', 2.812628882851999), ('physique', 2.793313224837162), ('wellgroomed', 2.7889032685509902), ('prominent', 2.7005750819559653), ('neat', 2.694318844042626), ('on', 2.6001241667821766), ('average', 2.5528221810614786), ('description', 2.5472822960252746), ('general', 2.532514066298365), ('years', 2.5136919056554112), ('eyebrows', 2.49810659680055), ('stands', 2.4633405064766265), ('slightly', 2.45810633732031), ('features', 2.43004381836804), ('are', 2.3882597136334907), ('athletic', 2.3646093128136365), ('work', 2.349009704394696), ('thobe', 2.3473984601691154), ('red', 2.33137062575551), ('vary', 2.3080394949935124), ('due', 2.2754622760913294), ('ranging', 2.269708395980897), ('has', 2.2527087871038862), ('high', 2.226990292782881), ('wavy', 2.206913901222696), ('intense', 2.2038387170419442), ('dressed', 2.1923999417186946), ('muscular', 2.1537444634829424), ('characteristics', 2.1439587669603424), ('genetics', 2.1195393746471303), ('have', 2.109180884443072), ('deepset', 2.0912444316828873), ('based', 2.058121428233508), ('however', 2.058086486026459), ('common', 2.0539736037141707), ('gentleman', 2.0509173777372514), ('sharp', 2.04855779361413), ('head', 2.0353214989533517), ('blond', 2.013730006631443), ('race', 2.0133485355786984), ('complexion', 2.0064281456156814), ('meticulously', 1.9926064772823007), ('traits', 1.9789838051675714), ('usually', 1.9786480991992996), ('wisdom', 1.9735883051656518), ('lips', 1.9706202515417852), ('curly', 1.9634418675083898)]"
,N,"[('their', 16.2011178706226), ('nonbinary', 12.113485032985594), ('gender', 11.709124717415474), ('they', 11.511351793813098), ('identity', 9.302084884568313), ('female', 8.421102022363728), ('male', 8.08511147826007), ('norms', 7.7371413203202595), ('person', 7.357944472626898), ('binary', 7.069336842767349), ('identify', 6.289827810690691), ('individual', 6.120583915218682), ('feminine', 5.78828174222494), ('pronouns', 5.332990316199152), ('masculine', 5.241321483080635), ('identifies', 5.062602320159073), ('not', 4.93125980752013), ('strictly', 4.900214043254855), ('outside', 4.674143307565912), ('traditional', 4.608334543534789), ('who', 4.400586022920177), ('conventional', 4.360483505052888), ('societal', 4.253904159558499), ('conform', 4.20574846832414), ('exclusively', 4.20574846832414), ('themselves', 4.205464449137714), ('identities', 4.180929108412224), ('genders', 4.167999692767512), ('spectrum', 4.129998062792776), ('choose', 4.125170094157668), ('express', 4.10597998220412), ('theythem', 4.091460583419489), ('neither', 3.9520730567819227), ('androgynous', 3.9339305049709483), ('prefer', 3.904944051437181), ('traditionally', 3.691096186213989), ('fluid', 3.6887002375199507), ('expectations', 3.6850652505621104), ('expression', 3.600222177121738), ('this', 3.565638715556667), ('style', 3.5439040910339084), ('does', 3.5336272185349706), ('ways', 3.473862672493332), ('means', 3.4688733898158164), ('between', 3.403166620472937), ('both', 3.3300043349484705), ('as', 3.3154593999543405), ('tapestry', 3.305796573921553), ('am', 3.289864201121134), ('genderneutral', 3.276603423232538), ('fluidity', 3.239191606862255), ('present', 3.2387668895307553), ('unique', 3.2357559813231718), ('doesnt', 3.1677130897164814), ('use', 3.148341396051762), ('society', 3.148341396051762), ('instead', 3.1404005357990123), ('vibrant', 3.1403692582716776), ('femininity', 3.128645992480069), ('being', 3.0107103300220115), ('selfexpression', 2.973348059311098), ('nor', 2.9390816604651424), ('meaning', 2.9329758901933163), ('beyond', 2.9259405356483588), ('transcends', 2.865150987478463), ('definitions', 2.8094926219025647), ('defies', 2.792009360243141), ('confined', 2.7527106600973497), ('styles', 2.695206048783203), ('blend', 2.6862759191913095), ('that', 2.671413273675385), ('binaries', 2.6354840297663653), ('of', 2.595308933147933), ('eclectic', 2.5802500290515877), ('boundaries', 2.5748726139107396), ('societys', 2.5748726139107396), ('them', 2.519424107933634), ('categories', 2.512801316801474), ('individuality', 2.5108146642699283), ('journey', 2.5047811427696907), ('elements', 2.4978148835325893), ('self', 2.4973801941125746), ('mix', 2.463018441109934), ('fusion', 2.449670980192543), ('woman', 2.435360834945068), ('do', 2.4230900395845043), ('freedom', 2.3838202817664604), ('complex', 2.3710271145674375), ('exist', 2.3691971648185115), ('world', 2.3651944342278877), ('navigating', 2.3436959322960447), ('way', 2.306842870457903), ('concept', 2.30502348331859), ('embrace', 2.2889121124241965), ('path', 2.2754076424271816), ('aesthetic', 2.2690572577131016), ('combination', 2.264680880776346), ('in', 2.260018636539352), ('boxes', 2.247456807845276), ('labels', 2.247456807845276), ('traditions', 2.2374193049627773), ('somewhere', 2.2065896031721968), ('colorful', 2.2062885877421947), ('authentic', 2.198562371503501), ('she', 2.198562371503501), ('entirely', 2.1770990798107874), ('intersection', 2.176075928050438), ('what', 2.1712944467120994), ('terms', 2.168036692914917), ('adhere', 2.167466243559306), ('fashion', 2.1599941220702212), ('clothing', 2.1478702286852176), ('no', 2.1386902309245497), ('associated', 2.114073227137512), ('the', 2.111775959579197), ('authenticity', 2.102274805461208), ('masculinity', 2.081027702396505), ('hairstyle', 2.0693008601229694), ('comfort', 2.068380388532877), ('fluctuate', 2.05706652179065), ('existence', 2.050273453400556), ('how', 2.0496568125901433), ('own', 2.0302274843847092), ('ambiguity', 2.02578894309615), ('rather', 2.0236543416724437), ('term', 2.0232495080386403), ('identifying', 2.014385144706549), ('mood', 2.0141245165427746), ('necessarily', 2.0141245165427746), ('accessories', 1.9740323113325136), ('someone', 1.968708122503326)]"
a White,W,[]
a White,M,"[('blue', 9.322535698536427), ('light', 7.122811258001901), ('green', 6.878443096298183), ('red', 6.818400352904483), ('white', 6.743725302799149), ('blonde', 6.486815836683551), ('blond', 5.8507885922946805), ('or', 5.609766693251386), ('hazel', 5.126364878824601), ('height', 4.965912725952668), ('fair', 4.7845780785743575), ('race', 4.246095666030083)]"
