race,gender,mw_captured_words
a White,,"[('white', 9.395924203140781), ('blue', 8.201514350063078), ('color', 6.3170105739333815), ('ive', 5.928900232947955), ('light', 5.192774485129697), ('or', 5.020409058299857), ('blond', 4.962597527477815), ('fair', 4.793033167071459), ('freckles', 4.670590586760713), ('bright', 4.621590105936903), ('across', 4.448887038931204), ('got', 4.431768656266311), ('pale', 4.2679875629898705), ('blonde', 4.228587690288467), ('medium', 4.167606304889026), ('male', 3.8448143612695325), ('sandy', 3.8118969265760048), ('had', 3.7736572016073877), ('scattering', 3.7340848154039974), ('green', 3.724432716213354), ('nose', 3.6748128364187713), ('bridge', 3.648116022383042), ('thats', 3.598300705408077), ('short', 3.533592501189709), ('race', 3.5060440205890173), ('european', 3.4750082706529386), ('caucasian', 3.264020287604784), ('im', 3.2475636291288237), ('often', 3.2005014644490934), ('cheeks', 3.154470634626532), ('always', 3.0258247851790276), ('attempt', 3.007493237803407), ('smattering', 2.994512620793357), ('racial', 2.987184584178889), ('jawline', 2.9849842080625293), ('cut', 2.9577185761724314), ('likely', 2.9451301948722555), ('more', 2.9241885855274563), ('typically', 2.912783003280022), ('too', 2.906821184938108), ('not', 2.8964419804304296), ('shade', 2.886284176237311), ('perspective', 2.875085781971759), ('average', 2.8672828912697983), ('guy', 2.819552727801201), ('never', 2.8113465870784324), ('adult', 2.8070514028343965), ('slightly', 2.7948491219671707), ('hazel', 2.7773049498451243), ('casual', 2.7489621107600994), ('', 2.74193233671793), ('facial', 2.716389148086676), ('bit', 2.6992064848612194), ('height', 2.675814225189913), ('have', 2.6341675404805445), ('whos', 2.6139826219114504), ('really', 2.591354573107695), ('firstperson', 2.572475315187738), ('messy', 2.5605526531896605), ('comfortable', 2.5589696755185294), ('any', 2.556167315237546), ('slender', 2.548762756248888), ('dress', 2.548760755027466), ('pretty', 2.540789103143948), ('way', 2.535145296961219), ('around', 2.5300590429202656), ('red', 2.4578558780095188), ('neutral', 2.4479627333191876), ('piercing', 2.4423675159013336), ('beige', 2.4379262522502576), ('complexion', 2.420030674517568), ('describe', 2.412846338156175), ('dont', 2.4114975381424584), ('pink', 2.4103681045876097), ('straight', 2.405169937691467), ('outdoors', 2.401060283785439), ('going', 2.3918343969047817), ('an', 2.3579908515655883), ('small', 2.344384592556374), ('also', 2.3440216230158573), ('privilege', 2.3424392124373212), ('olive', 2.2875081141547726), ('person', 2.2481355895443738), ('certain', 2.2292082828111206), ('angular', 2.22054259064979), ('on', 2.219857752470556), ('relaxed', 2.2154696869004287), ('build', 2.2131436580768007), ('opportunities', 2.2003055666742184), ('gender', 2.1963223603302002), ('falls', 2.1853526168414192), ('spend', 2.1840466821780864), ('slight', 2.1752313847111715), ('thin', 2.1711538484790993), ('neat', 2.160887377135859), ('eye', 2.1596739355728154), ('approachable', 2.131072246490639), ('tidy', 2.1280215489646186), ('somewhat', 2.1256812189253824), ('friendly', 2.1244476029189743), ('how', 2.1244476029189743), ('time', 2.1176332730021414), ('welldefined', 2.1171411645550977), ('style', 2.1165575052765297), ('s', 2.109383244723954), ('be', 2.1076155976538775), ('almondshaped', 2.097775554715281), ('mop', 2.0811565267897296), ('felt', 2.0729140407103954), ('doesnt', 2.0654493666871505), ('just', 2.065124430674089), ('very', 2.0604612250583445), ('referencing', 2.0500694366334224), ('standing', 2.0500179814121617), ('grown', 2.0443642163824856), ('hairs', 2.0332529283462994), ('usually', 2.0032489214810645), ('described', 1.9994190855450265), ('but', 1.997768415004436), ('terms', 1.9975870894224776), ('been', 1.992488398405309), ('stubble', 1.9744806772120882), ('jeans', 1.9658896662236476), ('like', 1.962851771450174)]"
a Black,,"[('black', 8.746107608828515), ('rich', 5.2302927891877475), ('african', 5.142760904504698), ('tightly', 5.122803716577527), ('coiled', 4.93160244094644), ('deep', 4.839994728075355), ('dark', 3.9760612676780416), ('that', 3.975055635826097), ('resilience', 3.952389926486363), ('the', 3.6925064256753544), ('experiences', 3.6458047481993994), ('beauty', 3.6309003007011342), ('crown', 3.559298592669434), ('am', 3.4788883129064008), ('strength', 3.328901031813992), ('afro', 3.2974943394288734), ('curls', 3.258401406654572), ('full', 3.2142082423616003), ('struggles', 3.1648978070800764), ('ancestors', 3.1216889304604445), ('of', 3.073492561695233), ('symbol', 3.050119389996783), ('through', 2.908978048443947), ('tapestry', 2.903805362975775), ('undertones', 2.86964045863092), ('triumphs', 2.852759847315584), ('wisdom', 2.79374705503942), ('glows', 2.7834712477262933), ('soil', 2.717160693850574), ('kinky', 2.6522649291997626), ('beautiful', 2.6477042732385527), ('community', 2.619242950785841), ('chocolate', 2.616137732780228), ('zephyr', 2.6109155941521065), ('own', 2.586804052738839), ('complexity', 2.3964837773700043), ('braids', 2.388846052609436), ('sheen', 2.383403315094469), ('radiant', 2.374206749022105), ('coils', 2.3313837134871966), ('its', 2.3018638375068177), ('heritage', 2.2962656696485317), ('creativity', 2.2882279488364885), ('approach', 2.2510964352540244), ('diaspora', 2.249982898575204), ('before', 2.2449489319367206), ('weight', 2.240814566982116), ('testament', 2.1893853282744042), ('defined', 2.1692758526530382), ('vibrant', 2.1687343856132775), ('wild', 2.133657431817601), ('front', 2.112231600044144), ('and', 2.1058579992334465), ('personalities', 2.091419422381498), ('within', 2.063935241260163), ('veins', 2.062229912189867), ('gravity', 2.0386748366381973), ('selfassurance', 2.029409935702817), ('curled', 1.9941865779495718), ('courses', 1.964322024252391)]"
an Asian,,"[('asian', 10.661516181947299), ('golden', 3.9998394045823282), ('heritage', 3.597576170754788), ('black', 3.5294702533882503), ('asia', 3.487797110626162), ('dark', 3.275766822273938), ('almondshaped', 3.24149956840118), ('warm', 3.149227996967337), ('many', 3.03492148141754), ('deep', 2.874824161321155), ('korean', 2.8287014932944796), ('kenji', 2.8287014932944796), ('gentle', 2.794184825500292), ('japanese', 2.771529353440826), ('continent', 2.771529353440826), ('result', 2.7454346883300897), ('quiet', 2.6653807569319676), ('testament', 2.6180424374046716), ('jae', 2.5924700529041522), ('hello', 2.503889177645116), ('my', 2.465083819956359), ('upward', 2.421802352268056), ('among', 2.4147174876299755), ('martial', 2.3900404201308576), ('arts', 2.3900404201308576), ('smooth', 2.3342787088345167), ('ethnicities', 2.298032477078912), ('vast', 2.286120854703382), ('chinese', 2.2628086216500463), ('face', 2.260423466057707), ('name', 2.247125491667755), ('his', 2.235942761564874), ('cultures', 2.2357952427958985), ('asians', 2.1909386138649447), ('framing', 2.1238307364923914), ('brown', 2.1110683937106134), ('descent', 2.105614790595713), ('flat', 2.071842953724332), ('regular', 2.0698891514422577), ('tilt', 2.052578682763434), ('smile', 2.0522090849335677), ('blend', 2.0428555042915995), ('japan', 2.0396222897879084), ('straight', 2.026171693794667), ('spent', 2.006385231253943), ('heartshaped', 1.9762711078126431)]"
a Middle-Eastern,,"[('middle', 6.850835054707602), ('middleeastern', 6.4378668141220095), ('east', 6.167159930068481), ('the', 5.5253422950418525), ('dark', 5.444852160225769), ('amir', 5.099566936820319), ('region', 5.093344823375625), ('am', 4.959107730603148), ('wisdom', 4.653976179797857), ('desert', 4.4967883601697345), ('thick', 4.4861316286358095), ('rich', 4.200262173308662), ('amirah', 3.84198565996723), ('deep', 3.8228131730024733), ('hold', 3.7273235338473616), ('assalamu', 3.6710343357993427), ('cultural', 3.643039145830778), ('ancient', 3.5687732953777345), ('iran', 3.537417649775256), ('olivetoned', 3.493629965528127), ('alaykum', 3.4917454647205846), ('heritage', 3.4524280596830703), ('warm', 3.1402820308788835), ('beard', 3.073577467347381), ('under', 3.071784596426009), ('sturdy', 3.0609358608093276), ('wellgroomed', 3.0453125394528366), ('son', 3.035917445215927), ('dignified', 2.910395104244961), ('testament', 2.9075213322958935), ('flecked', 2.9055524681027727), ('persian', 2.8880079881792833), ('coffee', 2.850714808661189), ('sit', 2.831903598840286), ('cardamom', 2.831903598840286), ('hospitality', 2.7980134727622694), ('surrounded', 2.7344481145383015), ('name', 2.6908818265701204), ('intricate', 2.685486050430401), ('expressive', 2.6593480663317197), ('amirs', 2.656501321762773), ('culture', 2.598850455563327), ('city', 2.5979577533735982), ('proud', 2.5913143252548334), ('ancestors', 2.573759320980566), ('scent', 2.5622899253885563), ('seem', 2.554519363265146), ('raised', 2.5499172720836487), ('strong', 2.5091202811495474), ('sun', 2.480758317688486), ('scorching', 2.479556063087227), ('born', 2.437345283808349), ('sipping', 2.430007571850599), ('worn', 2.4277797017452487), ('eastern', 2.393838596574282), ('stories', 2.3811854522717626), ('air', 2.3373033790363524), ('bustling', 2.3358829507713623), ('upon', 2.3358829507713623), ('village', 2.3251943257393286), ('threads', 2.3060010415428818), ('faith', 2.29431959840803), ('cardamominfused', 2.2653700665942176), ('tehran', 2.2653700665942176), ('jordan', 2.2653700665942176), ('dignity', 2.2591255551805487), ('lived', 2.2589905357395628), ('hours', 2.205466592766285), ('countries', 2.1962205852236805), ('cup', 2.1889057372996574), ('his', 2.1773717839715907), ('was', 2.167359997934199), ('family', 2.164884069771261), ('trimmed', 2.1648716018013086), ('silver', 2.1608184457454778), ('by', 2.153800463559345), ('countless', 2.1511584969287076), ('of', 2.132087160032674), ('rosewater', 2.1190278984774364), ('many', 2.117951229169493), ('my', 2.091237506568589), ('traditions', 2.082862262473075), ('arabic', 2.0743088919167167), ('turkey', 2.0419310731097164), ('egypt', 2.0419310731097164), ('town', 2.0332717043853004), ('thousand', 2.010400766403652), ('wafts', 1.9981327667771032), ('authority', 1.9981327667771032), ('vibrant', 1.9965773135119012), ('peace', 1.9956261446317805), ('iraq', 1.9618092150515392), ('amirahs', 1.9618092150515392)]"
a Latino,,"[('latino', 9.488703974750095), ('hola', 5.2626860146871595), ('carlos', 4.4775462817748215), ('latin', 4.441834806332505), ('heritage', 4.393884881087086), ('cultural', 4.208512527398502), ('puerto', 4.145123108875188), ('sparkle', 4.103153819354057), ('dark', 4.085822354088235), ('rich', 3.9698502144978054), ('latinx', 3.9078840548967673), ('american', 3.9064797694048794), ('proud', 3.8885352769893573), ('warm', 3.806532612951843), ('vibrant', 3.7638028031244875), ('deep', 3.7370771861729555), ('little', 3.6617948932701188), ('abuelas', 3.655326669043864), ('mixed', 3.534207060539696), ('tell', 3.442975888268247), ('mexican', 3.3840229504711936), ('indigenous', 3.3366666575524038), ('about', 3.3345621324041055), ('testament', 3.313451868231661), ('mexico', 3.288629952340114), ('his', 3.277915798241278), ('rican', 3.140122904053108), ('goldenbrown', 3.1325988981624047), ('roots', 3.123667940573381), ('spanish', 3.0890374764763577), ('warmth', 2.9573199098915586), ('term', 2.8956106372239305), ('soccer', 2.8704840784542225), ('expressive', 2.868867228182123), ('name', 2.794445255564049), ('golden', 2.7854433208619254), ('encompasses', 2.77217882099957), ('rico', 2.762795068694402), ('countries', 2.7128893649790267), ('angeles', 2.6451353066201437), ('los', 2.6451353066201437), ('my', 2.6351005925404114), ('kindness', 2.620600462277446), ('born', 2.5844148378317877), ('beautiful', 2.5827796887471006), ('salsa', 2.5219998164042092), ('raised', 2.466525877463457), ('hint', 2.394611686877005), ('con', 2.392543299464699), ('america', 2.392543299464699), ('strong', 2.376141155829195), ('caribbean', 2.3526179199409807), ('jamies', 2.3483598191885497), ('alex', 2.34619136932257), ('abuela', 2.3251167503530468), ('familia', 2.3251167503530468), ('old', 2.3118876678660087), ('eyebrow', 2.302183296017438), ('speaks', 2.264365689466106), ('wave', 2.2587805257131), ('arroz', 2.2556776997852146), ('hints', 2.24427831039767), ('playing', 2.2361726410736007), ('pollo', 2.1840342000739135), ('used', 2.131990477988802), ('neighborhood', 2.124808610688915), ('jamie', 2.122030576853664), ('thick', 2.1076997700190336), ('culture', 2.0628703368216024), ('brown', 2.0297786327460665), ('talking', 2.022513044526111), ('sunkissed', 2.01837760911052), ('love', 2.0152241138692313), ('smile', 1.9870229545086335), ('pride', 1.980473754150501), ('with', 1.9781789371478076), ('mischief', 1.9742679909191216), ('surrounded', 1.9705222580792077), ('backgrounds', 1.9705222580792077)]"
,W,[]
,M,"[('his', 12.608756368557648), ('man', 7.643774772212215), ('he', 7.216187355183915), ('strong', 5.855739735526576), ('prominent', 5.317234207136917), ('straight', 4.674450823446609), ('slightly', 4.600793544024614), ('tone', 4.432087831808619), ('him', 4.367088576160395), ('jawline', 4.0754331299400715), ('facial', 4.059214309899462), ('can', 3.9742602307712103), ('men', 3.8980337034127186), ('am', 3.5690999861087023), ('slight', 3.5594261283164346), ('short', 3.435340736437698), ('thick', 3.393550779444347), ('characteristics', 3.381098348774773), ('trimmed', 3.3120896414531047), ('', 3.2982310912401394), ('fair', 3.2815942163320524), ('skin', 3.190841999780597), ('been', 3.1737640272559977), ('tall', 3.165318373205761), ('wavy', 3.156683130340743), ('almondshaped', 3.150816293294738), ('beard', 3.136819731678016), ('working', 3.124523911312784), ('medium', 3.112678723646078), ('from', 3.0925922939820287), ('has', 3.069296366893979), ('flecked', 3.0476156479491405), ('likely', 3.0277635194071695), ('range', 2.97349705264251), ('olive', 2.9656914764242743), ('ranging', 2.9459892709820847), ('sun', 2.885024035856475), ('giving', 2.8660352639303093), ('physical', 2.8393364804212644), ('making', 2.815742297694648), ('many', 2.8065052474342953), ('cut', 2.80196773192147), ('common', 2.790095167460871), ('and', 2.771956617412894), ('wave', 2.708174662347445), ('defined', 2.665272734975241), ('some', 2.658447055278432), ('corners', 2.6345261301530765), ('general', 2.626086782305566), ('texture', 2.5909764192689786), ('friendly', 2.581034584664891), ('under', 2.5750105954756513), ('brown', 2.5742279876242256), ('neatly', 2.563576001296166), ('years', 2.5555066044454136), ('vary', 2.554969907491947), ('approachable', 2.5257853868641336), ('outdoors', 2.518950199864548), ('neat', 2.516820594512654), ('varying', 2.4718414165828526), ('black', 2.462895054659793), ('on', 2.4344048223040384), ('life', 2.4090434380227483), ('diverse', 2.396075775767837), ('countless', 2.3799332172182766), ('etched', 2.370372993063955), ('outer', 2.3652949865336845), ('eyes', 2.3584783523447928), ('struggles', 2.340071690785985), ('group', 2.3389684009039375), ('carlos', 2.336965041999679), ('features', 2.335028277188078), ('wellgroomed', 2.330697264932318), ('stereotypes', 2.317786790942761), ('structure', 2.3116719939468644), ('kind', 2.2843521923423373), ('distinct', 2.274973225871563), ('imagining', 2.266345488437983), ('speaks', 2.257112339598412), ('countries', 2.2470175264251853), ('the', 2.244291280228339), ('tell', 2.2372588255786825), ('angular', 2.2313165934871164), ('greatly', 2.23044887253587), ('at', 2.197446329423169), ('various', 2.192933592810569), ('neutral', 2.1850238171572878), ('thats', 2.1848655512521398), ('shades', 2.1774352083142023), ('avoid', 2.154786863414548), ('average', 2.1136552452773407), ('grey', 2.1123079576441333), ('backgrounds', 2.1017207082294758), ('based', 2.09058872418762), ('by', 2.0783536683503745), ('worn', 2.0671466294888914), ('face', 2.053418555196724), ('result', 2.049852989073185), ('triumphs', 2.0462114010296113), ('broad', 2.0421198583892237), ('ruggedness', 2.039049364281944), ('angled', 2.0155947976283692), ('provide', 2.0061910618571592), ('wide', 1.985841936980525), ('hes', 1.9820749442640144), ('eye', 1.962059853876952), ('hazel', 1.9608941036959744)]"
,N,"[('their', 15.620338901757703), ('nonbinary', 12.812890007223736), ('gender', 9.784251952473504), ('they', 8.252186737978885), ('person', 6.963862939909065), ('identify', 6.823822396372871), ('traditional', 6.4930198891247715), ('falls', 6.360690152046849), ('identity', 6.350023298268375), ('style', 6.276332319829858), ('female', 6.251314929617286), ('loose', 6.0966791050243785), ('waves', 6.054295822517357), ('pronouns', 5.607459423451819), ('binary', 5.375833563522909), ('blend', 4.955142578891515), ('neither', 4.9480575056930345), ('exclusively', 4.879877342118818), ('dont', 4.868258310970703), ('eclectic', 4.847202980751205), ('androgynous', 4.781187108288972), ('theythem', 4.646353389956771), ('as', 4.567167594765777), ('categories', 4.542612355740561), ('jamie', 4.50750336020435), ('bold', 4.422945645686522), ('fusion', 4.407813382344442), ('back', 4.344115186746898), ('effortless', 4.342555980224989), ('nor', 4.339696689481347), ('male', 4.271581101680318), ('vibrant', 4.129315025597124), ('both', 4.0714547787362605), ('introduce', 4.057216629587097), ('feel', 3.9630295764289145), ('ring', 3.9292697764817386), ('beautiful', 3.9127566265627944), ('fit', 3.8954585219696685), ('slender', 3.876045234032592), ('latinx', 3.8372044207092832), ('amirah', 3.820958310164054), ('move', 3.7792946215722685), ('tattoos', 3.7782279121395717), ('striking', 3.673161646019553), ('individual', 3.6230200553379226), ('use', 3.608533691354233), ('identifies', 3.5840385136048463), ('into', 3.5174831603488457), ('few', 3.486652590165727), ('feminine', 3.42663545037309), ('down', 3.396607153519532), ('quite', 3.3799464479201693), ('felt', 3.3765440016372223), ('them', 3.373035028879779), ('radiant', 3.361116661760801), ('soft', 3.3453490734399596), ('colorful', 3.3438290293934627), ('adorned', 3.2920423664909686), ('fluid', 3.2898519645918207), ('flair', 3.289589086428845), ('that', 3.28769894266997), ('jamies', 3.2847151974163347), ('wonderful', 3.2847151974163347), ('meet', 3.2188801822579993), ('means', 3.206853351121854), ('zephyr', 3.186598864959638), ('norms', 3.171201445937939), ('masculine', 3.148687873443523), ('defies', 3.1473128469783043), ('malefemale', 3.1363919334333366), ('wear', 3.1119892527054107), ('woman', 3.033490414773842), ('patterns', 3.0315193410600236), ('catch', 2.989397380078608), ('curves', 2.97348273755594), ('heartshaped', 2.9727411357281452), ('combination', 2.9553468232758875), ('expectations', 2.9407823639985344), ('elements', 2.9407823639985344), ('someone', 2.9150683114839007), ('didnt', 2.894084251253022), ('entirely', 2.8722452660747857), ('outside', 2.856853628310907), ('categorization', 2.8164492248281294), ('blending', 2.8062739235061316), ('may', 2.7200739211964082), ('does', 2.68906284430382), ('delicate', 2.6661786002522985), ('streaks', 2.6658578125103394), ('navigate', 2.658480355152552), ('mix', 2.6547878916699097), ('amirs', 2.6420101562294525), ('arms', 2.637535348587275), ('prefer', 2.598407139538095), ('labels', 2.581248777286433), ('jae', 2.581248777286433), ('creativity', 2.5731423769409014), ('name', 2.5641802637015845), ('fashion', 2.560704362312709), ('hey', 2.5522240463080084), ('just', 2.547510679751954), ('embrace', 2.5441072984899877), ('smattering', 2.5355086224335444), ('roles', 2.5190238959703555), ('separate', 2.5190238959703555), ('thing', 2.5190238959703555), ('thrilled', 2.5190238959703555), ('learned', 2.514829561943981), ('so', 2.497445128199212), ('alex', 2.481001588263149), ('fluidity', 2.473979131339116), ('comfortable', 2.456520838334022), ('stunning', 2.455224242311551), ('conform', 2.4408471605862285), ('glad', 2.409411385505), ('asymmetrical', 2.3897236921180793), ('luscious', 2.3573855817898868), ('feels', 2.349734001287457), ('lovely', 2.3431095150240635), ('whose', 2.3431095150240635), ('up', 2.342161170700737), ('like', 2.338811610457832), ('genderneutral', 2.3223783331128502), ('korean', 2.311969132425844), ('locks', 2.308747792988497), ('latin', 2.296807588304033), ('something', 2.28312888843361), ('reflect', 2.278845720804774), ('this', 2.27606676704841), ('express', 2.2530227411397408), ('meaning', 2.2530227411397408), ('not', 2.248537916192941), ('charm', 2.240676468622449), ('strands', 2.214001431115468), ('colors', 2.203469433650721), ('freckles', 2.1847285532456033), ('defy', 2.181465189808616), ('piecey', 2.181465189808616), ('figuring', 2.181465189808616), ('selfexpression', 2.181465189808616), ('store', 2.181465189808616), ('thrift', 2.181465189808616), ('world', 2.1761693100999984), ('flowing', 2.1715652804255288), ('vivid', 2.165651024389093), ('terms', 2.160852957690698), ('exist', 2.1378535910648186), ('societal', 2.107481394605351), ('distressed', 2.107481394605351), ('boxes', 2.107481394605351), ('chic', 2.107481394605351), ('finds', 2.107481394605351), ('genderqueer', 2.107481394605351), ('in', 2.094948448005289), ('tangle', 2.090497484768671), ('messy', 2.0750980756082664), ('nature', 2.0707713595695663), ('petite', 2.0624251704460694), ('loving', 2.0609925986402913), ('doesnt', 2.0529052831239576), ('braids', 2.0277761447818423), ('modern', 2.026946473176928), ('self', 2.020074501840326), ('growing', 2.012837939434455), ('persian', 2.0053081487907765), ('curls', 2.001044425957129), ('stray', 1.9841518783050418), ('ways', 1.9806399921720852)]"
a White,W,[]
a White,M,"[('white', 9.197184400403), ('blue', 8.908734159115541), ('fair', 7.994657289581299), ('medium', 7.0389434406245925), ('straight', 6.771252016174017), ('color', 6.541647999116817), ('ive', 6.461962687521746), ('jawline', 6.382089584473325), ('slightly', 6.079063793046167), ('short', 5.995740681774353), ('likely', 5.9447861639588035), ('green', 5.931435111597379), ('facial', 5.707031590524034), ('or', 5.639280170930165), ('got', 5.587280562803054), ('pale', 5.240307810334434), ('light', 5.178762979133717), ('average', 5.11007608391356), ('slight', 5.108105329550516), ('had', 5.103045867400851), ('too', 5.070217473982662), ('thats', 5.035226234065412), ('adult', 5.015052941878665), ('cut', 4.889315739907129), ('guy', 4.879189424292278), ('olive', 4.823648168704008), ('hazel', 4.793085267922013), ('nose', 4.7035614405061015), ('been', 4.681974295702519), ('blonde', 4.670558375926413), ('caucasian', 4.62688937099643), ('pink', 4.588200398480641), ('race', 4.588188598335577), ('typically', 4.583024486276599), ('beige', 4.512627571816548), ('almondshaped', 4.492438909419391), ('complexion', 4.451366831790325), ('pretty', 4.3469537759545585)]"
